date,gold_usd,silver_usd,lly_usd,wmt_usd,vrt_usd,ccj_usd,avgo_usd,jnj_usd,usdsek,gold_sek,silver_sek,gold_ret,silver_ret,lly_ret,wmt_ret,vrt_ret,ccj_ret,avgo_ret,jnj_ret,portfolio_ret
2009-01-22,858.2000,11.3570,37.8000,16.2900,,16.5100,,56.8700,8.2311,7063.93,93.48,1.0122,0.3712,-1.1506,-0.5494,,-4.4560,,0.9049,-0.4397
2009-01-23,895.3000,11.9320,37.4200,16.1167,,16.8200,,55.9700,8.1872,7330.00,97.69,4.3230,5.0630,-1.0053,-1.0641,,1.8776,,-1.5826,1.6907
2009-01-26,908.5000,12.1020,37.5700,16.2000,,16.6200,,56.5500,7.9912,7260.01,96.71,1.4744,1.4247,0.4009,0.5171,,-1.1891,,1.0363,0.7309
2009-01-27,899.2000,12.1670,38.6100,16.2633,,16.7500,,57.5400,8.0333,7223.54,97.74,-1.0237,0.5371,2.7682,0.3909,,0.7822,,1.7507,0.5616
2009-01-28,888.1000,11.9630,39.0900,16.2433,,17.5200,,58.5600,8.0262,7128.07,96.02,-1.2344,-1.6767,1.2432,-0.1230,,4.5970,,1.7727,0.3183
2009-01-29,905.1000,12.1400,37.9700,15.9533,,17.0900,,58.2800,8.1971,7419.19,99.51,1.9142,1.4796,-2.8652,-1.7854,,-2.4543,,-0.4781,-0.4262
2009-01-30,927.3000,12.5600,36.8200,15.7067,,16.5200,,57.6900,8.3627,7754.73,105.04,2.4528,3.4596,-3.0287,-1.5462,,-3.3353,,-1.0124,-0.1498
2009-02-02,906.7000,12.4100,37.2700,15.5233,,15.8100,,57.6900,8.3799,7598.06,103.99,-2.2215,-1.1943,1.2222,-1.1672,,-4.2978,,0.0000,-1.3535
2009-02-03,892.0000,12.2950,38.6900,15.9367,,16.5800,,58.5800,8.2130,7326.00,100.98,-1.6213,-0.9267,3.8100,2.6627,,4.8703,,1.5427,1.2994
2009-02-04,901.6000,12.4650,38.0100,15.4733,,15.8200,,57.9600,8.2850,7469.76,103.27,1.0762,1.3827,-1.7576,-2.9073,,-4.5838,,-1.0584,-1.0053
2009-02-05,913.6000,12.7450,38.1600,16.1867,,15.9800,,58.1100,8.2788,7563.51,105.51,1.3310,2.2463,0.3946,4.6101,,1.0114,,0.2588,1.7589
2009-02-06,913.9000,13.1550,38.1800,16.5433,,16.4300,,58.5100,8.0834,7387.42,106.34,0.0328,3.2169,0.0524,2.2035,,2.8160,,0.6883,1.2237
2009-02-09,892.4000,12.8250,38.1200,16.4267,,17.0600,,58.5000,8.0690,7200.78,103.48,-2.3526,-2.5086,-0.1572,-0.7052,,3.8344,,-0.0171,-0.7234
2009-02-10,913.7000,13.1250,36.9400,15.9067,,16.6200,,56.7300,8.2516,7539.49,108.30,2.3868,2.3392,-3.0955,-3.1656,,-2.5791,,-3.0256,-0.6765
2009-02-11,943.8000,13.5150,36.7200,16.0767,,15.9100,,57.3300,8.3775,7906.68,113.22,3.2943,2.9714,-0.5956,1.0687,,-4.2720,,1.0576,1.0222
2009-02-12,948.5000,13.5050,36.3400,16.0433,,15.8200,,57.7800,8.3637,7932.97,112.95,0.4980,-0.0740,-1.0349,-0.2073,,-0.5657,,0.7849,-0.0972
2009-02-13,941.5000,13.6200,35.4300,15.5100,,15.5000,,57.1000,8.3692,7879.60,113.99,-0.7380,0.8515,-2.5041,-3.3243,,-2.0228,,-1.1769,-1.5389
